Bezeichner,Footprint,Stückzahl,Bezeichnung,Anbieter und Referenz
,,,,
,,,,
"C27,C26,C18,C15,C16,C20,C24,C3,C19,C2,C17,C13,C12,C14,C7,C11,C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,17,0.1uf-50v-x7r 08055C104K4T2A,08055C104K4T2A
C22,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,1,4.7uf-50v-X7R GRM32ER71H475KA88L,GRM32ER71H475KA88L
C21,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,1,22uf-16v-X7R GRM32ER71C226KEA8K,GRM32ER71C226KEA8K
"C1,C4,C9,C10",CP_Elec_6.3x7.7,4,100uf35v-6.3x7.7mm EEE-HA1V101XP,EEE-HA1V101XP
"C6,C5",CP_Elec_6.3x7.7,2,220uf16v-6.3x7.7mm EEE-HA1C221XP,EEE-HA1C221XP
,,,,
,,,,
"R13,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,330 Ohm 1% RCC0805330RFKEA,RCC0805330RFKEA
"R14,R10,R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,470 Ohm 1% RCC0805470RFKEA,RCC0805470RFKEA
"R4,R6,R1,R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,100 kOhm 5% RK73B2ETTD104J,RK73B2ETTD104J
R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,499 Ohm 1% MR08X4990FTL,MR08X4990FTL
"R5,R3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,1kOhm 5% ERJ-T06J102V ,ERJ-T06J102V
R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,22.1k 1% Würth WRIS-RSKS 560112120026 ,WRIS-RSKS 560112120026
R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,100k 1% Würth WRIS-RSKS 560112120013 ,WRIS-RSKS 560112120013
R15,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,220 Ohm 5% ERJ-T06J221V,ERJ-T06J221V
,,,,
,,,,
"U4,U1,U3,U2",PinSocket_1x08_P2.54mm_Vertical,8,"2,54mm pin socket BKL 10122206 8,5mm height",BKL 10122206
"U4,U1,U3,U2",MODULE_TMC2209_SILENTSTEPSTICK,4,TMC2209,
,,,,
,,,,
J1,26011102,1,WAGO 2601-1102,WAGO 2601-1102
"J2,J12,J10,J11,J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,5,JST XHP-2,JST XHP-2
J13,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,JST XHP-3,JST XHP-3
"J19,J14",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,2,JST XHP-4,JST XHP-4
J3,JST_XH_B13B-XH-A_1x13_P2.50mm_Vertical,1,JST XHP-13,JST XHP-13
J20,PinHeader_1x02_P2.54mm_Vertical,0,Not used,
"J15,J17,J7,J8","TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",4,35° 4-pole screw terminal ( TE Connectivity 796689-4 ),TE Connectivity 796689-4
J6,PinSocket_1x19_P2.54mm_Vertical,1,"2,54mm pin socket 1x19 (1x20 cutted)",
J5,PinSocket_2x19_P2.54mm_Vertical,1,"2,54mm pin socket 2x19 (2x20 cutted)",
"JP3,JP5,JP4,JP6,JP2,JP7,JP1,JP8",PinHeader_1x02_P2.54mm_Vertical,8,1x02 pin header with low profile jumper cap 4.5mm height (149-3-002-F0-XS),
,,,,
,,,,
D3,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,597-3305-607F,597-3305-607F
"D1,D2",D_SMA_Handsoldering,2,60v3ASchottky B360A-E3/61T,B360A-E3/61T
,,,,
,,,,
L1,WE-PD_6033_6050_PLASTIC_BASE54,1,SMD WE-PD 8.2uH 2.3A ,WE-PD 7447786008
,,,,
,,,,
IC5,SOT95P280X110-6N,1,SIMPLE SWITCHER power converter LMR51420XFDDCR,LMR51420XFDDCR
"IC3,IC4",SOT95P240X110-3N,2,NPN transistor MMBT3904,MMBT3904
"IC1,IC2",SOT254P916X480-6N,2,H11L1SR2M_F132,H11L1SR2M_F132
